text,comment_time,title,like_count,reply_count,favorite_count,view_count,retweet_count,is_hot,is_answer,is_bonus,is_reward,reward_count,user_id,followers_count,screen_name,tag,sentiment
$天齐锂业(SZ002466)$$新能源(CSI000941)$$宁德时代(SZ300750)$有一事不解，天齐年报中披露他的身材原材料需要澳大利亚的矿石和能源，把澳大利亚的矿海运到码头，然后转运到工厂加工提炼。 那为何不直接在澳大利亚加工提炼？澳大利亚那么多煤矿，也不缺能源,2023/9/15 08:52,,3,13,1,24480,0,False,False,False,True,0,5402746107.0,85.0,雨果等夏天,路人,Neutral
$新能源(CSI000941)$ 从2021年10月触顶回落至今，已经跌了50%了；新能源的PE估值也已经到了“极低估”区间。熟悉我的朋友应该都知道，我是一直重仓新能源板块的，这两年更是一路苦苦扛着。所以，我非常想知道，新能源现在究竟还值得配置吗？我这次特地找了“全市场选股”的基金经理，他...,2023/9/14 06:35,现在“依然看好新能源”的基金经理，是怎么想的？,6,20,1,192315,2,False,False,False,True,1,8687456694.0,31994.0,基金复基金,大V,Bullish
中报业绩发布后，市面有许多传言，有人称协鑫科技财务官杨文忠先生是协鑫科技的内部空头，要求罢免他。给出的理由是，公司基本面优秀，拥有多项光伏行业产业革新技术，却被市场空头猖獗做空。而杨文忠带的财务团队长期驻扎在香港，给了位于香港的做空机构接触的便利，从杨文忠那里套取回购操盘信息...,2023/9/5 12:22,杨文忠是不是协鑫科技的内部空头？,32,23,1,196461,0,False,False,False,True,0,6213802785.0,256.0,看穿秋水,,Bearish
下方是 半导体 、 新能源 、 国防军工 、 中证医疗 年线图！ 半导体 选了两个指数，一个是 国证芯片 ，一个是 半导体 指数。 「国证芯片」年线 「半导体」年线 「新能源」年线 「国防军工」年线 「中证医疗」年线 除了 医疗医药 连跌三年，回踩 年线大底 上！半导体、新能源、军工位置均...,2023/9/20 16:43,说半导体、新能源、军工是底部的大V看过来！,1,2,0,6815,0,False,False,False,True,0,4267889763.0,233.0,阿心666,,Bullish
新能源车见顶的标志是策略分析师用2060年的业绩去给宁德估值，你品，你品，你品到了什么？ $新能源(CSI000941)$ $新能源(SH000941)$ $新能源车ETF(SH515030)$,2023/9/17 09:57,,3,2,0,6540,0,False,False,False,True,0,2180099462.0,70910.0,山东步步高,大V,Bearish
利好来了！今天央行降准，下调存款准备金率0.25个百分点，大概向市场释放5000亿资金！还有央行的国债逆回购和MLF人民银行9月15日公告称，为维护银行体系流动性合理充裕，保持季末流动性平稳，2023年9月15日人民银行开展1390亿元公开市场逆回购操作和5910亿元中期借贷便利（MLF）操作,2023/9/15 11:40,债市最新估值，今天还是晴天吗？,2,2,0,12329,0,False,False,False,True,0,7185507016.0,608.0,富哥爱投资,,Bullish
翔丰华业务上半年营收9.93亿元，同比增5%，扣非净利润0.64亿元，同比-28%。从行业看，上半年负极价格下行，营收增长说明翔丰华负极出货有提升，销售增长。另外，负极毛利率21.72%，同比上升1.61个百分点，负极成本在原材料和石墨化，说明产品价格虽然降低，但是没有原材料价格、石墨化下降幅...,2023/8/30 07:56,翔丰华半年报解读,8,5,0,21759,1,False,False,False,True,0,3539484868.0,445.0,加仓不嘉措,,Bullish
在股市中摸爬滚打的各位？你们是怎么进入股市的？我呢，正好就是在让子弹飞上映左右进入的。之前也就是那两三万的零花钱跟着别人的乱消息瞎买。自从我看了让子弹飞后，就完全放弃了基金，机构这些忽悠百姓的东西。你仔细看...,2023/8/29 21:54,让子弹飞,8,4,1,24014,0,False,False,False,True,0,8189142125.0,2238.0,探索学习者,,Neutral
8月收官，大家赚了还是亏了，几乎每天都在砸盘，要不是最后这一周人都麻了。指数层面：今天指数果然还是往下去踩3110区域了，强支撑在3093-3110区域附近。最低点暂时试了3113点。下午开始指数开始往回拉，今天收星了。这里往下空间比较有限，主要还是因为指标上要金叉一次，所以再...,2023/8/31 14:10,8.31收评：大动作，接下来市场会这么走，明日走势分析,1,5,0,3698,0,False,False,False,True,0,4112184339.0,57.0,北漂小散户,路人,Bearish
今天债市有涨有跌，国债收益率低开高走，对债市有压力，但是今天债市收蛋的概率还是有的，因为周末票息今天会结算。央行：自9月15日起，央行下调金融机构外汇存款准备金率2个百分点。同日，央行还超额续做5910亿元MLF操作，中标利率维持不变。同时开展1390亿元公开市场逆回购操作，其中有340...,2023/9/18 09:22,债基最新估值，有涨有跌？,0,1,0,12186,0,False,False,False,True,0,7185507016.0,608.0,富哥爱投资,,Bearish
