title,time,author_id,sentiment
Inflation and consumer trends might still negatively impact the market in 2024 - analyst,2023-12-08,59269293,Bearish
"Cyclical value and small caps are set to outperform, according to Stifel’s 6-month outlook",2023-12-07,59269293,Neutral
"Biggest stock movers today: Google, AMD, GameStop, C3.AI, Chewy and more",2023-12-07,32439325,Neutral
AMD's AI event brings flurry of positive reactions; others are neutral,2023-12-07,54324280,Neutral
Google's Gemini launch represents 'significant innovation' in Gen AI race: JPM,2023-12-07,55407719,Bullish
"EU reaches tentative deal on rules for ChatGPT-like AI systems, talks ongoing on surveillance use - report",2023-12-07,54324280,Neutral
30 Stocks shunned by hedge and mutual funds - GS,2023-12-06,59269293,Bearish
"Top stocks with highest hedge fund + mutual fund positions, according to GS",2023-12-06,59269293,Bullish
"Apple, Google users getting spied on by governments, says US senator",2023-12-06,54324280,Bearish
"Google shows off new Gemini AI model, new AI chip and Hypercomputer",2023-12-06,55407719,Bullish
Apple iMessage may reportedly escape 'gatekeeper' status in EU,2023-12-06,55407719,Bearish
China launches locally built new-generation supercomputer - report,2023-12-06,54324280,Neutral
"Self-driving shift: GM Cruise at 'all-time low,' but Waymo is speeding ahead",2023-12-06,55510976,Bearish
Amazon follows Google lead in chastising Microsoft cloud practices in UK,2023-12-05,55407719,Bearish
"November cloud instance results show 'slowing' growth in US, China: KeyBanc",2023-12-05,55407719,Bearish
"Goldman Sachs: Top 30 mutual fund underweight holdings, including Apple and Tesla",2023-12-05,53367831,Neutral
EU regulator approves up to €1.2B state aid for cloud computing project,2023-12-05,54324280,Neutral
"Meta, IBM launch open source AI Alliance with over 50 members",2023-12-05,51785401,Neutral
Meta faces €550M lawsuit from Spanish media association - report,2023-12-04,54324280,Bearish
Google seeks antitrust action on Microsoft in UK cloud market - report,2023-12-01,54324280,Bearish
Montana's state-wide ban on TikTok blocked by federal judge,2023-12-01,27427253,Neutral
Google will not be able to replicate the monopoly they had with Search – Altimeter Capital,2023-11-30,59269293,Bearish
Policy winners and losers of a 2024–2028 Democratic White House - BTIG,2023-11-30,59269293,Neutral
Meta's ad-free subscription service sees EU consumer groups' complaint after Austria,2023-11-30,54324280,Bearish
Google comes to agreement with Canada in online news fight (updated),2023-11-29,427396,Bullish
TikTok trying to get Indonesia e-commerce permit - report,2023-11-29,54324280,Neutral
"Amazon unveils Q, a new generative AI chatbot to aid customer service",2023-11-28,59008794,Neutral
S&P 500’s biggest names will continue to dominate the market in 2024 – strategist,2023-11-28,59269293,Neutral
"AWS shows off new AI processors, expands Nvidia deal as chip race heats up",2023-11-28,55407719,Neutral
"Google, Symphony team up to use generative AI for voice analytics in financial services",2023-11-28,54324280,Bullish
AI shows slightly negative impact on wages but not on jobs - European Central Bank research,2023-11-28,54324280,Neutral
Meta's ad-free subscription service faces advocacy group's complaint in Austria,2023-11-28,54324280,Bearish
"Meta, Google see ad trends improve in November: Roth MKM",2023-11-27,59008794,Bullish
"These are the most under-owned large-cap tech stocks, led by Microsoft",2023-11-27,59269293,Neutral
"MongoDB Q3 may show slowing growth, but estimates are 'absurdly low': analyst",2023-11-27,55407719,Bullish
"US, UK among countries sign pact on guidelines to make AI secure - report",2023-11-27,54324280,Neutral
Top equities with the largest retail order imbalance – JPM strategy,2023-11-24,59269293,Neutral
Four key calls for U.S. equities in 2024 – strategists,2023-11-24,59269293,Neutral
EU lawmakers back rules directing big tech to tackle child sexual abuse online - report,2023-11-23,54324280,Bearish
Increased market concentration doesn’t necessarily mean market stress - RBC Capital Markets,2023-11-22,53367831,Neutral
Jefferies U.S. quant portfolio - ROIC stars and high yield,2023-11-22,51784941,Neutral
"OpenAI's board reached out to Anthropic CEO for top job, merger; investors mull suing OpenAI board - report",2023-11-21,54324280,Bearish
OpenAI customers look to flee as chaos reigns,2023-11-20,59008794,Bearish
Magnificent 7 account for nearly a fifth of global stock market influence,2023-11-20,51784941,Neutral
Goldman Sachs 2024 stock strategy - sales growth,2023-11-20,51784941,Neutral
"Apple, Bytedance, Meta officially file cases against 'gatekeeper' status",2023-11-17,55407719,Bearish
The 12 least expected market outcomes of '24 - and how to trade them,2023-11-17,51784941,Neutral
"Meta unveils AI-based video editing tools Emu Video, Emu Edit",2023-11-17,54324280,Neutral
"Google delays launch of AI model Gemini, a potential rival to OpenAI's GPT-4 - report",2023-11-17,54324280,Bearish
"Apple's iPhone getting RCS messaging support, in key reversal",2023-11-16,427396,Neutral
Apple getting into search is a 'rising risk' to Google's bread and butter,2023-11-16,59008794,Bearish
TikTok follows Meta to appeal 'gatekeeper' status in EU,2023-11-16,54324280,Neutral
"Spotify to use Google's AI model to tailor recommendations, identify harmful content",2023-11-16,54324280,Bullish
Goldman Sachs channels Taylor Swift for its 2024 stock market forecast,2023-11-15,51784941,Neutral
"Coatue Management trims stakes in five Magnificent 7 members, adds Palantir, Shopify",2023-11-15,56228617,Neutral
"Meta Platforms to appeal 'gatekeeper' designation for Messenger, Marketplace",2023-11-15,55407719,Neutral
Nvidia keeps chugging along as Citi maintains buy heading into Q3,2023-11-15,55407719,Neutral
Baidu's CEO cautions on wasting resources to develop AI models in China - report,2023-11-15,54324280,Bearish
"Apple, Google may face app tax increase in Japan: report",2023-11-15,55407719,Bearish
"Bill Ackman's Pershing Square raises stake in Alphabet in Q3, trims position in Lowe's",2023-11-14,56228617,Bullish
"Whale Rock exits Netflix, boosts Alphabet stake in Q3",2023-11-14,52996117,Bullish
"Druckenmiller's Duquesne takes new stakes in Alibaba, Alphabet; exits Meta",2023-11-14,49447318,Bullish
Snowflake's product revenue slowdown likely to continue in Q3: analyst,2023-11-14,55407719,Bearish
Google's probably going to lose antitrust case: Barclays,2023-11-14,59008794,Bearish
YouTube to soon require creators to disclose AI-generated videos,2023-11-14,54324280,Neutral
